method,split,accuracy,min_sim,regionality,alpha,useTermsSimilarity,N
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.8946840521564694,0.0,16.0,0.0,True,2
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.8428475486903962,0.0,16.0,0.0,True,3
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.7914547304170906,0.0,16.0,0.0,True,4
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.7484459179444675,0.0,16.0,0.0,True,5
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.7124113475177305,0.0,16.0,0.0,True,6
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.6875,0.0,16.0,0.0,True,7
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.6657043879907621,0.0,16.0,0.0,True,8
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.6503911518748314,0.0,16.0,0.0,True,9
"CLIP,ms=0.0,r=16,al=0.0,ts=True",4,0.6376885706980312,0.0,16.0,0.0,True,10
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.654,0.1,1.0,0.0,True,1
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.6211055276381909,0.1,1.0,0.0,True,2
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.545822102425876,0.1,1.0,0.0,True,3
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.49334698055271237,0.1,1.0,0.0,True,4
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.4665831244778613,0.1,1.0,0.0,True,5
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.4381941956288069,0.1,1.0,0.0,True,6
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.4104691988509416,0.1,1.0,0.0,True,7
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.3979027090008739,0.1,1.0,0.0,True,8
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.39077340569877883,0.1,1.0,0.0,True,9
"CLIP,ms=0.1,r=1,al=0.0,ts=True",0,0.3787878787878788,0.1,1.0,0.0,True,10
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.68,0.1,1.0,0.0,True,1
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.6232464929859719,0.1,1.0,0.0,True,2
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.5248655913978495,0.1,1.0,0.0,True,3
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.4969418960244648,0.1,1.0,0.0,True,4
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.46686119216340144,0.1,1.0,0.0,True,5
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.43873517786561267,0.1,1.0,0.0,True,6
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.4153057957092539,0.1,1.0,0.0,True,7
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.40210711150131695,0.1,1.0,0.0,True,8
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.39338436303991253,0.1,1.0,0.0,True,9
"CLIP,ms=0.1,r=1,al=0.0,ts=True",1,0.3863871635610766,0.1,1.0,0.0,True,10
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.714,0.1,1.0,0.0,True,1
"CLIP,ms=0.1,r=1,al=0.0,ts=True",2,0.6297786720321932,0.1,1.0,0.0,True,2
